Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Kamada/ Kedrion Biopharma/ Columbia University Irving Medical Center,Treatment,Antibodies,Clinical,Individual Expanded Access use in Israel started in June 2020; Phase I/II in hospitalized patients in Israel to start 3Q 2020; Will talk to FDA in 3Q 2020; enrollment completed Sept 2020 in Israel,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/9/2020
Harbour BioMed / Erasmus MC / Utrecht University / Mount Sinai Health System / AbbVie,Treatment,Antibodies,Pre-clinical,Unknown,Antibody 47D11,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/9/2020
Emergent BioSolutions/ National Institute of Allergy and Infectious Diseases (NIAID)/ Mt Sinai Health System/ ImmunoTek Bio Centers,Treatment,Antibodies,Pre-clinical,Phase II trials begin ~August 2020,Polyclonal hyperimmune globulin (H-IG),,Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Defense,,Same human hyperimmune platform as FDA-approved anthrax treatment (Anthrasil) and smallpox vaccine complications (VIGIV) were developed,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Eli Lilly/AbCellera (NIH Vaccines Research Center)/Takeda,Treatment,Antibodies,Clinical,"Phase II trial recruiting July 2020; Phase I started June 2020; results expected end of June 2020; FDA IND application for EUA requested Oct 2020; FDA EUA approved Nov 2020. Interim authorization from Health Canada Nov 2020. Doses purchased by US, Dec 2020.",LY-CoV555 antibody from recovered patients,"NCT04411628, NCT04427501, NCT04497987, NCT04441931",Defense Advanced Research Projects Agency/ Government of Canada (ISED Strategic Innovation Fund),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/8/2020
"Chelsea and Westminster Hospital, Imperial College London",Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,UK Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020
GSK,Treatment,Antibodies,Clinical,Phase II recruiting June 2020,"otilimab, anti-granulocyte macrophase colony-stimulating factor (GM-CSF) antibody
",NCT04376684,Unknown,,"To treat rheumatoid arthritis
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Eli Lilly,Treatment,Antibodies,Clinical,Phase II trial recruiting July 2020; Phase II study ended Oct 2020,"LY3127804, anti-Angiopoietin 2 (Ang2) antibody",NCT04342897,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/17/2020
Edesa Biotech / Light Chain Bioscience (NovImmune),Treatment,Antibodies,Pre-clinical,Unknown,"Monocloncal antibodies, CXC10 antagonist",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
"CoVIg-19 Plasma Alliance (Takeda, CSL Behring, Biotest AG, Bio Products Laboratory, LFB, and Octapharma, ADMA Biologics, BioPharma Plasma, GC Pharma, Sanquin)/Gates Foundation/ NIAID/ Microsoft",Treatment,Antibodies,Pre-clinical,"Phase I trials start in summer 2020; To patients between December 2020 and December 2021; Phase III first patient enrolled, Oct 2020","Polyclonal hyperimmune globulin (H-IG), unbranded (TAK-888) ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/14/2020
Multiple global research sponsors; Octapharma USA/ Sharp Memorial Hospital; Grifols,Treatment,Antibodies,Clinical,Octapharma released topline results from retrospective study July 2020; Phase III study ongoing July 2020; Phase 1/2 trials began ,Octagam; intravenous Immunoglobulin (IVIG),"NCT04261426, NCT04264858, NCT04350580, NCT04400058, NCT04411667, EudraCT 2020-002482-34, NCT04480424, NCT04432324, 2020-001890-56, NCT04521309",Unknown,"Open Forum Infectious Diseases (https://academic.oup.com/ofid/article/7/3/ofaa102/5810740), Business Wire (https://www.businesswire.com/news/home/20200603005130/en/Octapharma-USA-Extends-Funding-COVID-19-Study-Positive), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), Business Wire (https://www.afp.com/en/news/1314/octapharma-reports-positive-data-octagamr-usage-critically-ill-covid-19-patients-202007150056321), medRxiv (https://doi.org/10.1101/2020.07.20.20157891), PubMed ( https://pubmed.ncbi.nlm.nih.gov/33236646/), Eureka (https://www.eurekalert.org/pub_releases/2020-12/ypr-opr112420.php)",,"FDA-approved since 2014, approved to treat chronic immune thrombocytopenic purpura (ITP)",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
Abcore,Treatment,Antibodies,Pre-clinical,Unknown,"Single domain antibodies (sdAbs), engineered monoclonal antibody derived from camelids",,Unknown,Nature (https://www.nature.com/articles/s41467-020-18387-8),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Celltrion,Treatment,Antibodies,Pre-clinical,Unknown,Super-antibody or antibody cocktail to target potential mutations of SARS-CoV-2,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
University of Texas at Austin/ US National Institutes of Health/ Ghent University,Treatment,Antibodies,Pre-clinical,Unknown,Linked nanobody antibody,,Unknown,Nature (https://www.nature.com/articles/s41467-020-18174-5),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Xbiotech/ BioBridge Global,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/23/2020
Ligand Pharmaceuticals,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies (OmniRat platform),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
FairJourney Biologics / Iontas,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Assistance Publique - Hopitaux de Paris (Phase II); Alexion (Expanded Access Protocols),Treatment,Antibodies,Clinical,Phase II recruiting May 2020. Expanded access protocols,"Soliris (eculizumab), complement inhibitor","NCT04288713, NCT04346797, NCT04355494, EudraCT 2020-001246-18 ",Unknown,,,"FDA-approved since 2007, approved to treat Paroxysmal Nocturnal Hemoglobinuria, Atypical Hemolytic Uremic Syndrome, Generalized Myasthenia Gravis, and Neuromyelitis Optica Spectrum Disorder",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
Celltrion,Treatment,Antibodies,Clinical,Phase I trial started July 2020; Celltrion beginning commercial production; Korean Ministry of Food and Drug Safety (MFDS)  IND application for a Phase II/III trials Sept 2020. Phase II enrollment complete Nov 2020.,"CT-P59; Antibodies from recovered COVID-19 patients
","NCT04525079, NCT04602000, NCT04593641",The Korea Health Industry Development Institute,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/1/2020
Alexion Pharmaceuticals. TACTIC-R trial ,Treatment,Antibodies,Clinical,Phase III recruiting July 2020,"Ultomiris (ravulizumab-cwvz), complement inhibitor","NCT04369469, EudraCT 2020-001354-22 (TACTIC-R), ISRCTN11188345, NCT04390464",Unknown,,,"FDA-approved since 2018, aprpoved to treat paroxysmal nocturnal hemoglobinuria and atypical hemolytic uremic syndrome",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/18/2020
GigaGen,Treatment,Antibodies,Pre-clinical,Phase I trial expected to start early 2021,"rCIG (recombinant anti-coronavirus 19 hyperimmune gammaglobulin), polyclonal antibodies",,Unknown,,,N//A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
Vir Biotechnology/ GSK/ Samsung/ WuXi Biologics/ Biogen,Treatment,Antibodies,Clinical,Start Phase II ~July-September 2020; Dosing began Aug 2020; Phase 3 results and endpoints expect Jan 2021,"VIR-7831 and VIR-7832, antibodies from recovered SARS patients",NCT04545060,Unknown,Cell (https://www.cell.com/cell/fulltext/S0092-8674(20)31234-4),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/25/2020
Swedish Orphan Biovitrum,Treatment,Antibodies,Clinical,Phase II/III recruiting April 2020,"Gamifant (emapalumab), anti-interferon gamma antibody",NCT04324021,Unknown,,,"FDA-approved since 2018, approved to treat primary hemophagocytic lymphohistiocytosis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/27/2020
ImmunoPrecise Antibodies,Treatment,Antibodies,Pre-clinical,"Lead candidates identified June 2020, pre-clinical studies to start summer 2020",Monoclonal antibody cocktail,,North Dakota Bioscience Innovation Grant,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
CytoDyn,Treatment,Antibodies,Clinical,Phase II trial interim results released July 2020; Phase II trial (mild/moderate) met enrollment in June 2020; Phase IIb/III trial (severe) ongoing June 2020; individual expanded access,"leronlimab (PRO 140), a CCR5 antagonist","NCT04343651, NCT04347239",Unknown,"CytoDyn (https://www.cytodyn.com/newsroom/press-releases/detail/415/southern-california-patients-treated-with-leronlimab-for), CytoDyn (https://www.cytodyn.com/newsroom/press-releases/detail/453/update---impressive-results-from-cytodyns-phase-2)","Treatment of HIV/AIDS, Graft versus Host Disease, Non-Alcoholic Steatohepatitis, and numerous cancers",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/2/2020
Grifols,Treatment,Antibodies,Pre-clinical,Phase I trial expected to start July 2020,Polyclonal hyperimmune globulin (H-IG),"NCT04432324, NCT04480424",Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/30/2020
"EUSA Pharma / The Papa Giovanni XXII Hospital; University Hospital, Ghent; Fundacion Clinic per a la Recerca Biomédica",Treatment,Antibodies,Clinical,FDA approves Phase III trial in hospitalized patients in July 2020,"Sylvant (siltuximab), interleukin-6 targeted monoclonal","NCT04322188, NCT04330638, NCT04329650, EudraCT 2020-001500-41, EudraCT 2020-001854-23, EudraCT 2020-001413-20, NCT04486521",Unknown,"EUSA Pharma (https://www.eusapharma.com/news/interim-analysis-data-for-siltuximab-treated-covid-19-patients-from-the-sisco-study/), medRxiv (https://doi.org/10.1101/2020.04.01.20048561), medRxiv (https://doi.org/10.1101/2020.04.23.20076612), JACI (https://www.jaci-inpractice.org/article/S2213-2198(20)30611-5/fulltext)",,"FDA-approved since 2014, approved to treat multicentric Castleman disease",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/18/2020
Vanderbilt Vaccine Center/ AstraZeneca/ IDBiologics,Treatment,Antibodies,Pre-clinical,Phase I trial began August 2020; Phase III trial began Nov 2020,Combo of two antibodies (AZD7442),"NCT04507256, NCT04625725",Defense Advanced Research Projects Agency/ Dolly Parton/ Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
Numerous trials with global research sponsors; Roche; REMAP-CAP; RECOVERY,Treatment,Antibodies,Clinical,"Initial Roche studies could be completed May or June 2020; Phase II open-label study in Italy active (April 2020), Phase III Roche global trial enrolling May 2020, Roche trial (+ remdesivir) to start June 2020; ; Phase 3 EMPACTA Trial (tocilizumab + placebo); HEPMAB (Actemra + Heparin) Phase 3 trials begin Oct 2020","Actemra (tocilizumab), interleukin-6 receptor antagonist","NCT04317092, NCT04320615, NCT04310228, ChiCTR2000030894, NCT04306705, ChiCTR2000030442, ChiCTR2000029765, NCT04322773, NCT04345445, NCT04331795, NCT04332094, NCT04346355, NCT04359667, NCT04332913, NCT04335071, NCT04356937, NCT04361032, NCT04315480, NCT04339712, NCT04333914, NCT04361552, NCT04330638, NCT04331808, NCT02735707, NCT04349410, NCT04363736, NCT04372186, NCT04363853, EudraCT 2020-001754-21, EudraCT 2020-001500-41, EudraCT 2020-001246-18, EudraCT 2020-001039-29, EudraCT 2015-002340-14 (REMAP-CAP), EudraCT 2020-001854-23, NCT04381936 (RECOVERY), NCT04409262, EudraCT 2020-001903-17, NCT04560205, NCT04577534, NCT04600141",Biomedical Advanced Research and Development Authority (BARDA),"ChinaXiv (http://www.chinaxiv.org/abs/202003.00026), medRxiv (https://doi.org/10.1101/2020.04.20.20061861), medRxiv (https://doi.org/10.1101/2020.04.23.20076612), Assistance Publique Hopitaux De Paris (https://www.aphp.fr/contenu/le-tocilizumab-ameliore-significativement-le-pronostic-des-patients-avec-pneumonie-covid), PNAS (https://www.pnas.org/content/early/2020/04/27/2005615117#T1), medRxiv (https://doi.org/10.1101/2020.05.01.20078360), medRxiv (https://doi.org/10.1101/2020.05.07.20094599), medRxiv (https://doi.org/10.1101/2020.05.14.20099234), medRxiv (https://doi.org/10.1101/2020.05.13.20100404), medRxiv (https://doi.org/10.1101/2020.05.13.20100081), medRxiv (https://doi.org/10.1101/2020.05.21.20109207), medRxiv (https://doi.org/10.1101/2020.06.12.20122374), medRxiv (https://doi.org/10.1101/2020.06.08.20125245), medRxiv (https://doi.org/10.1101/2020.06.06.20122341), medRxiv (https://doi.org/10.1101/2020.06.05.20122622), medRxiv (https://doi.org/10.1101/2020.06.03.20121558), medRxiv (https://doi.org/10.1101/2020.06.05.20113738), medRxiv (https://doi.org/10.1101/2020.06.01.20119149), medRxiv (https://doi.org/10.1101/2020.05.29.20117358), medRxiv (https://doi.org/10.1101/2020.06.13.20130088), Italian Medicines Agency (https://www.aifa.gov.it/web/guest/-/covid-19-studio-randomizzato-italiano-nessun-beneficio-dal-tocilizumab), medRxiv (https://doi.org/10.1101/2020.06.15.20132407), EClinicalMed (https://doi.org/10.1016/j.eclinm.2020.100418), Lancet Rheumatology (https://doi.org/10.1016/S2665-9913(20)30173-9), medRxiv (https://doi.org/10.1101/2020.06.23.20134072), medRxiv (https://doi.org/10.1101/2020.06.22.20133413), medRxiv (https://doi.org/10.1101/2020.06.24.20134288), The Lancet (https://doi.org/10.1016/j.eclinm.2020.100410), The Lancet (https://doi.org/10.1016/j.eclinm.2020.100459), medRxiv (https://doi.org/10.1101/2020.07.20.20157503), medRxiv (https://doi.org/10.1101/2020.07.13.20149328), medRxiv (https://doi.org/10.1101/2020.07.10.20150938), medRxiv (https://doi.org/10.1101/2020.07.10.20150680), The Lancet (https://doi.org/10.1016/S2665-9913(20)30277-0), The Lancet (https://doi.org/10.1016/S2665-9913(20)30313-1), JAMA (doi:10.1001/jamainternmed.2020.6252)",,"FDA-approved since 2010; approved to treat various type of arthritis, including rheumatoid arthritis and cytokine release syndrome",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
Tsinghua University/ Third People's Hospital of Shenzhen/ Brii Biosciences,Treatment,Antibodies,Pre-clinical,Phase I trials recruiting July 2020,"BRII-196 and BRII-198, Antibodies from recovered COVID-19 patients","NCT04479644, NCT04479631",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/22/2020
Public Health England (Stuart Dowall),Treatment,Antibodies,Pre-clinical,Unknown,Purified ovine immunoglobulin from immunized sheep,,UK Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Grifols,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Biomedical Advanced Research and Development Authority (BARDA),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Humanigen Inc./ Catalent Biologics,Treatment,Antibodies,Clinical,Data on first clinical use released June 2020; Phase III trial ongoing July 2020/Dosing began Oct 2020,"lenzilumab, anti-granulocyte-macrophage colony stimulating factor antibody",NCT04351152,Unknown,"medRxiv (https://doi.org/10.1101/2020.06.08.20125369), Science Direct (https://www.sciencedirect.com/science/article/pii/S0025619620309897)",Prevent cytokine storm with CAR-T cancer therapy; prevention/treatment of acute graft versus host disease; chronic myelomonocytic leukemia; eosinophilic asthma,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/25/2020
"Novartis; other research sponsors
",Treatment,Antibodies,Clinical,Novartis Phase III to start and trial top-line results expected late summer 2020,"Ilaris (canakinumab), interleukin-1beta blocker","NCT04348448, NCT04362813, NCT04365153, EudraCT 2020-001854-23, NCT04476706",Unknown,The Lancet Rheumatology (https://doi.org/10.1016/S2665-9913(20)30167-3),,"FDA-approved since 2009, approved to treat periodic fever syndromes and systemic juvenile idiopathic arthritis",https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
Junshi Biosciences/ Eli Lilly/ Lonza/ AbCellera,Treatment,Antibodies,Clinical,Phase I trial in China started June 2020; trial in US to start 2H 2020   ,JS016 antibody candidate (LY-CoV016 + LY-CoV555) ,NCT04441918,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/21/2020
Medicago / Laval University's Infectious Disease Research Centre,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies,,Canadian Institutes for Health Research (CIHR),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
I-Mab Biopharma,Treatment,Antibodies,Clinical,"Interim Phase I/II data released June 2020, part 2 of the study to start June 2020","TJM2 (TJ003234), anti-granulocyte-macrophage colony stimulating factor antibody",NCT04341116,Unknown,PR Newswire (https://www.prnewswire.com/news-releases/i-mab-reports-interim-results-from-part-1-study-for-anti-gm-csf-antibody-tjm2-to-treat-covid-19-patients-with--cytokine-release-syndrome-301066451.html),,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Innovent Biologics,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Sorrento Therapeutics/ Mount Sinai Health System/ Columbia University ,Treatment,Antibodies,Pre-clinical,Start Phase II trial Q3 2020; FDA cleared for Phase I for COVI-GUARD (STI-1499) in hospitalized COVID-19 patients,COVI-SHIELD/COVI-TRACE/COVI-GUARD antibody cocktail that binds to three different epitopes,NCT04454398,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/6/2020
AstraZeneca / US Army Medical Research Institute of Infectious Diseases (USAMRIID)/ University of Maryland School of Medicine,Treatment,Antibodies,Pre-clinical,Phase I/II trials begin in summer 2020,"Antibodies targeting the S protein from convalescent serum, humanized mice, and phage display", ,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/6/2020
Costa Rican Social Security Fund (CCSS)/ The University of Costa Rica (UCR)/ Clodomiro Picado Institute,Treatment,Antibodies,Pre-clinical,Unknown,Antibodies from recovered COVID-19 patients,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
Prellis Biologics,Treatment,Antibodies,Pre-clinical,Phase I trial could begin as early as Sept 2020,Antibodies,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
Emergent BioSolutions,Treatment,Antibodies,Pre-clinical,Phase II trials begin ~August 2020,Horse plasma product (COVID-EIG),,Unknown,,Same equine hyperimmune platform as FDA-approved botulism anti-toxin (BAT) is produced,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
